algorithm, signals, videoshots, workstations, signal2Shots, shot2Workstations, displaysMinimum, displaysMaximum, displaysTotal, scenario generation time, steps, total_pairs, rMetric, rLimit, rRelation
Greedy, 2400,240,24,30,6,2,5,73,526,108294,72000,0.6648567787689069,0.009107627106423382
SingleFlow, 2400,240,24,30,6,2,5,73,147797,2400,72000,30.0,0.410958904109589
CliqueFlow, 2400,240,24,30,6,2,5,73,79781,1452,72000,49.586776859504134,0.6792709158836183
Seq, 2500,250,25,31,6,2,5,76,16,77500,77500,1.0,0.013157894736842105
Greedy, 2500,250,25,31,6,2,5,76,592,115902,77500,0.6686683577505134,0.008798267865138334
SingleFlow, 2500,250,25,31,6,2,5,76,159939,2500,77500,31.0,0.40789473684210525
CliqueFlow, 2500,250,25,31,6,2,5,76,92798,1499,77500,51.70113408939293,0.6802780801235911
Seq, 2600,260,26,32,6,2,5,79,16,83200,83200,1.0,0.012658227848101266
Greedy, 2600,260,26,32,6,2,5,79,588,124096,83200,0.6704486848891181,0.008486692213786305
SingleFlow, 2600,260,26,32,6,2,5,79,189953,2600,83200,32.0,0.4050632911392405
CliqueFlow, 2600,260,26,32,6,2,5,79,109224,1541,83200,53.99091499026606,0.6834293036742539
Seq, 2700,270,27,33,6,2,5,76,17,89100,89100,1.0,0.013157894736842105
Greedy, 2700,270,27,33,6,2,5,76,656,137392,89100,0.6485093746360778,0.008533018087316813
SingleFlow, 2700,270,27,33,6,2,5,76,216221,2700,89100,33.0,0.4342105263157895
CliqueFlow, 2700,270,27,33,6,2,5,76,120569,1576,89100,56.535532994923855,0.7438885920384718
Seq, 2800,280,28,34,6,2,5,83,19,95200,95200,1.0,0.012048192771084338
Greedy, 2800,280,28,34,6,2,5,83,694,144748,95200,0.6576947522590986,0.007924033159748175
SingleFlow, 2800,280,28,34,6,2,5,83,248016,2800,95200,34.0,0.40963855421686746
CliqueFlow, 2800,280,28,34,6,2,5,83,142527,1613,95200,59.02045877247365,0.7110898647285983
Seq, 2900,290,29,35,6,2,5,82,24,101500,101500,1.0,0.012195121951219513
Greedy, 2900,290,29,35,6,2,5,82,855,156277,101500,0.6494877685136009,0.007920582542848791
SingleFlow, 2900,290,29,35,6,2,5,82,287907,2900,101500,35.0,0.4268292682926829
CliqueFlow, 2900,290,29,35,6,2,5,82,157450,1638,101500,61.965811965811966,0.7556806337294142
Seq, 3000,300,30,36,6,2,5,88,26,108000,108000,1.0,0.011363636363636364
Greedy, 3000,300,30,36,6,2,5,88,922,166234,108000,0.649686586378238,0.007382802117934522
SingleFlow, 3000,300,30,36,6,2,5,88,322950,3000,108000,36.0,0.4090909090909091
CliqueFlow, 3000,300,30,36,6,2,5,88,179663,1676,108000,64.43914081145584,0.7322629637665437
Seq, 3100,310,31,38,7,2,5,100,22,117800,117800,1.0,0.01
Greedy, 3100,310,31,38,7,2,5,100,1130,184377,117800,0.6389083237063191,0.006389083237063191
SingleFlow, 3100,310,31,38,7,2,5,100,498434,3100,117800,38.0,0.38
CliqueFlow, 3100,310,31,38,7,2,5,100,286186,1681,117800,70.07733491969066,0.7007733491969066
Seq, 3200,320,32,40,8,2,5,97,27,128000,128000,1.0,0.010309278350515464
Greedy, 3200,320,32,40,8,2,5,97,1720,203968,128000,0.627549419516787,0.006469581644502959
SingleFlow, 3200,320,32,40,8,2,5,97,593770,3200,128000,40.0,0.41237113402061853
CliqueFlow, 3200,320,32,40,8,2,5,97,354500,1719,128000,74.46189645142525,0.7676484170250025
Seq, 3300,330,33,41,8,2,5,102,27,135300,135300,1.0,0.00980392156862745
Greedy, 3300,330,33,41,8,2,5,102,1887,216792,135300,0.6241005203144028,0.006118632552101988
SingleFlow, 3300,330,33,41,8,2,5,102,639086,3300,135300,41.0,0.4019607843137255
CliqueFlow, 3300,330,33,41,8,2,5,102,349828,1776,135300,76.18243243243244,0.7468865924748278
Seq, 3400,340,34,42,8,2,5,105,25,142800,142800,1.0,0.009523809523809525
Greedy, 3400,340,34,42,8,2,5,105,1759,228810,142800,0.624098597089288,0.005943796162755124
SingleFlow, 3400,340,34,42,8,2,5,105,689572,3400,142800,42.0,0.4
